propid,createdate,propfor,proptitle,propdesc,projid,blkid,price,userid,propcat,proptype,propsize,sizeunit,category,opensite,frontface,backface,floor,housetype,furnished,bedrooms,videopath,transfer,urlid,entered_by,referred_by,recstatus,recdate,actstatus,pricetype,roadid,salestatus,adtype,catid,temp_loc,temp_road,temp_area,consage,conscond,reasondesc,showprice,social
1,2018-02-05 11:40:39,Sale,125 Sqy Plot for Sale in Precinct-27,"A good location 125 Sq yards plot is available for sale in Precinct-27 Bahria Town Karachi. The plot is near Jinnah Avenue and Bahria Home.

All installments are paid",1,30,1525000,2,Residential,Plot,125,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-27-bahria-town-karachi-karachi-2-1,2,me,I,,Y,Own Price,1,E,L,1,,0,,,,"",Y,Y
2,2018-02-07 11:35:53,Sale,300 Sqy Brand New Banglow in Sector R4 for sale,"A well furnished brand new banglow is available for sale in Gulashan-e-Maymar Sector R-4 just opposite Dream World Resort.

Best architecture design.four rooms 03 bed room along with 21*22 sqft drawing & 35*17 sqft lounge. Bed Room sizes 18*20. Acrylic kitchen. Two washing areas. 2 luxury car parking space 100 sqft garden in home. 

Ideal Location all facilities available just buy and shift. 150 ft Green belt in front of house. 40 ft road .Market at the corner.Dream world Facing. only serious party for best offer s.",4,38,12000000,2,Residential,Home,300,Sqy,General,West Open,Park,Homes,None,Single,N,6,,,300-sqy-home-for-sale-sector-r-4-ahmed-villas-karachi-2-2,2,faysal hadi,I,,Y,Total Price,7,E,L,1,,0,,,,"",Y,Y
3,2018-02-10 13:45:50,Sale,250 Sqy Plot for sale in Precinct-44,"A good location plot for sale in Precinct-44 Bahria Sports City Karachi.

All installments are up to update till date. ",2,51,50000,2,Residential,Plot,250,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,250-sqy-plot-for-sale-precinct-44-bahria-sports-city-karachi-2-3,2,me,I,,Y,Own Price,11,E,"",1,,0,,,,"",Y,Y
4,2018-02-10 15:43:20,Sale,120 Sqy Plot for sale in Zeenatabad,"120 sq yards residential plot for sale in Zeenatabad Cooperative Housing Society Sector 19/A Scheme 33 Karachi.

All living utilities are available ",5,53,5200000,2,Residential,Plot,120,Sqy,General,West Open,Commercial,Plots,None,None,N,0,,,120-sqy-plot-for-sale-block-1-zeenatabad-cooperative-housing-society-karachi-2-4,2,mir asif,I,,Y,Total Price,14,E,L,1,,0,,,,"",Y,Y
5,2018-02-11 04:28:16,Sale,Urgent Sale 125 Sqy Precinct-26 BTK,"A good location plot in reasonable rate is available for sale in urgent basis'.
Plot No between 85-90 on street 1
Precinct-26",1,28,875000,2,Residential,Plot,125,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-26-bahria-town-karachi-karachi-2-5,2,Atta Rehman Contact 03213003335,I,,Y,Own Price,15,E,N,1,,0,,,,"",Y,Y
6,2018-02-16 12:22:55,Sale,125 Sqy Plot for Sale in Precinct-15A BTK,"125 Sq Yards Good Location plot is available for sale in new cutting of Precinct-15 A Bahria Town Karachi.

All installments are paid till date.
Chance deal direct seller.",1,55,1400000,2,Residential,Plot,125,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-15a-bahria-town-karachi-karachi-2-6,2,Zishan Ali,I,,Y,Own Price,20,E,"",1,,0,,,,"",Y,Y
7,2018-02-16 14:59:50,Sale,120 Sqy One Unit Beautiful Bungalow in Sasi Homes,"Gulistan-e -Jauhar Block 4 ,120 yards one unit beautiful bungalow 3 beds attached bath, drawing, dining  /TV lounge, marble tiles ,car parking etc.

No water problem no loadsheding
Well standard locality with all living utilities are available.",38,650,12200000,2,Residential,Home,120,Sqy,General,West Open,Homes,Homes,None,Single,N,5,7.mp4,,120-sqy-home-for-sale-sasi-homes-1-sasi-homes-karachi-2-7,2,Syed Farhan,I,,Y,Total Price,19,Y,L,1,,0,,,,"",Y,Y
8,2018-02-17 12:49:55,Sale,2 Beds Apartment for sale in Tower 10,"950 Sqf 2 Beds Apartment is available for sale in Precinct-19 Tower 10.
2nd Floor and Full Paid",1,20,5500000,2,Residential,Apartment,950,Sqf,General,West Open,Apartment,Apartment,2nd,None,N,2,,,950-sqf-apartment-for-sale-precinct-19-bahria-town-karachi-karachi-2-8,2,fb/ 2 BED APARTMENT  *Tower 10*  *2nd floor*  *demand 55 lacs full paid*  Taimoor vayani 0324-266652,I,,Y,Total Price,24,E,N,1,,0,,,,"",Y,Y
11,2018-02-26 07:32:57,Sale,125 Sqy Plot in Precinct-27 facing homes,"Plots for Sale in Bahria Town Karachi at prime locations of Precinct-27,

Plot No is between 4012-4014
Facing Bahria Homes
on 60 ft road
Best option to live and invest",1,30,1400000,1,Residential,Plot,125,Sqy,General,West Open,Homes,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-27-bahria-town-karachi-karachi-1-11,1,Feroze,U,2020-06-06 14:08:05,Y,Own Price,2,E,N,1,,0,,,,"",Y,Y
12,2018-02-26 08:03:58,Sale,Ideal Plot in Precinct-14 Corner West Open,"A good location plot is available for urgent sale in Precinct-14 Near Jamia Mosque.

Best precinct to live
Corner West Open on 40ft Road
Full paid 
Ideal investment with direct client dealing",1,14,3000000,1,Residential,Plot,125,Sqy,Corner,West Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-precinct-14-bahria-town-karachi-karachi-1-12,1,Feroze,U,2020-06-06 14:08:05,Y,Own Price,29,E,L,1,,0,,,,"",Y,Y
